[120/1000]: loss_d: 1.264, loss_g: 0.925
[121/1000]: loss_d: 1.272, loss_g: 0.903
[122/1000]: loss_d: 1.265, loss_g: 0.905
[123/1000]: loss_d: 1.267, loss_g: 0.917
[124/1000]: loss_d: 1.273, loss_g: 0.907
[125/1000]: loss_d: 1.268, loss_g: 0.906
[126/1000]: loss_d: 1.269, loss_g: 0.908
[127/1000]: loss_d: 1.272, loss_g: 0.903
[128/1000]: loss_d: 1.273, loss_g: 0.907
[129/1000]: loss_d: 1.275, loss_g: 0.907
[130/1000]: loss_d: 1.268, loss_g: 0.919
[131/1000]: loss_d: 1.270, loss_g: 0.890
[132/1000]: loss_d: 1.278, loss_g: 0.888
[133/1000]: loss_d: 1.282, loss_g: 0.891
[134/1000]: loss_d: 1.267, loss_g: 0.914
[135/1000]: loss_d: 1.265, loss_g: 0.909
[136/1000]: loss_d: 1.278, loss_g: 0.896
[137/1000]: loss_d: 1.283, loss_g: 0.880
[138/1000]: loss_d: 1.282, loss_g: 0.878
[139/1000]: loss_d: 1.277, loss_g: 0.888
[140/1000]: loss_d: 1.276, loss_g: 0.916
[141/1000]: loss_d: 1.265, loss_g: 0.913
[142/1000]: loss_d: 1.277, loss_g: 0.897
[143/1000]: loss_d: 1.277, loss_g: 0.892
[144/1000]: loss_d: 1.275, loss_g: 0.890
[145/1000]: loss_d: 1.277, loss_g: 0.896
[146/1000]: loss_d: 1.276, loss_g: 0.901
[147/1000]: loss_d: 1.274, loss_g: 0.896
[148/1000]: loss_d: 1.279, loss_g: 0.892
[150/1000]: loss_d: 1.273, loss_g: 0.896
[151/1000]: loss_d: 1.278, loss_g: 0.892
[152/1000]: loss_d: 1.280, loss_g: 0.889
[153/1000]: loss_d: 1.281, loss_g: 0.888
[154/1000]: loss_d: 1.282, loss_g: 0.889
[155/1000]: loss_d: 1.278, loss_g: 0.892
[156/1000]: loss_d: 1.281, loss_g: 0.880
[157/1000]: loss_d: 1.284, loss_g: 0.879
[158/1000]: loss_d: 1.272, loss_g: 0.911
[159/1000]: loss_d: 1.280, loss_g: 0.892
[160/1000]: loss_d: 1.274, loss_g: 0.893
[161/1000]: loss_d: 1.279, loss_g: 0.888
[162/1000]: loss_d: 1.283, loss_g: 0.876
[163/1000]: loss_d: 1.288, loss_g: 0.872
[164/1000]: loss_d: 1.282, loss_g: 0.886
[165/1000]: loss_d: 1.275, loss_g: 0.895
[166/1000]: loss_d: 1.286, loss_g: 0.883
[167/1000]: loss_d: 1.281, loss_g: 0.892
[168/1000]: loss_d: 1.279, loss_g: 0.887
[169/1000]: loss_d: 1.284, loss_g: 0.881
[170/1000]: loss_d: 1.287, loss_g: 0.868
[171/1000]: loss_d: 1.279, loss_g: 0.885
[172/1000]: loss_d: 1.282, loss_g: 0.894
[173/1000]: loss_d: 1.287, loss_g: 0.874
[174/1000]: loss_d: 1.286, loss_g: 0.870
[175/1000]: loss_d: 1.287, loss_g: 0.881
[176/1000]: loss_d: 1.284, loss_g: 0.877
[177/1000]: loss_d: 1.278, loss_g: 0.902
[178/1000]: loss_d: 1.282, loss_g: 0.886
[179/1000]: loss_d: 1.284, loss_g: 0.884
[180/1000]: loss_d: 1.281, loss_g: 0.888
[181/1000]: loss_d: 1.279, loss_g: 0.880
[182/1000]: loss_d: 1.290, loss_g: 0.876
[183/1000]: loss_d: 1.285, loss_g: 0.879
[184/1000]: loss_d: 1.279, loss_g: 0.890
[185/1000]: loss_d: 1.283, loss_g: 0.883
[186/1000]: loss_d: 1.282, loss_g: 0.885
[187/1000]: loss_d: 1.280, loss_g: 0.882
[188/1000]: loss_d: 1.281, loss_g: 0.882
[189/1000]: loss_d: 1.288, loss_g: 0.867
[190/1000]: loss_d: 1.288, loss_g: 0.876
[191/1000]: loss_d: 1.290, loss_g: 0.883
[192/1000]: loss_d: 1.288, loss_g: 0.873
[193/1000]: loss_d: 1.287, loss_g: 0.880
[194/1000]: loss_d: 1.289, loss_g: 0.864
[195/1000]: loss_d: 1.289, loss_g: 0.877
[196/1000]: loss_d: 1.287, loss_g: 0.879
[197/1000]: loss_d: 1.285, loss_g: 0.872
[198/1000]: loss_d: 1.283, loss_g: 0.875
[199/1000]: loss_d: 1.289, loss_g: 0.873
[200/1000]: loss_d: 1.290, loss_g: 0.871
[201/1000]: loss_d: 1.281, loss_g: 0.880
[202/1000]: loss_d: 1.287, loss_g: 0.874
[203/1000]: loss_d: 1.280, loss_g: 0.890
[204/1000]: loss_d: 1.283, loss_g: 0.882
[205/1000]: loss_d: 1.283, loss_g: 0.875
[206/1000]: loss_d: 1.278, loss_g: 0.897
[207/1000]: loss_d: 1.287, loss_g: 0.869
[208/1000]: loss_d: 1.288, loss_g: 0.866
[209/1000]: loss_d: 1.290, loss_g: 0.869
[210/1000]: loss_d: 1.287, loss_g: 0.872
[211/1000]: loss_d: 1.290, loss_g: 0.873
[212/1000]: loss_d: 1.286, loss_g: 0.873
[213/1000]: loss_d: 1.286, loss_g: 0.872
[214/1000]: loss_d: 1.290, loss_g: 0.877
[215/1000]: loss_d: 1.288, loss_g: 0.879
[216/1000]: loss_d: 1.294, loss_g: 0.858
[217/1000]: loss_d: 1.296, loss_g: 0.868
[218/1000]: loss_d: 1.298, loss_g: 0.857
[219/1000]: loss_d: 1.298, loss_g: 0.855
[220/1000]: loss_d: 1.296, loss_g: 0.861
[221/1000]: loss_d: 1.289, loss_g: 0.877
[222/1000]: loss_d: 1.290, loss_g: 0.869
[223/1000]: loss_d: 1.296, loss_g: 0.854
[224/1000]: loss_d: 1.296, loss_g: 0.864
[225/1000]: loss_d: 1.286, loss_g: 0.880
[226/1000]: loss_d: 1.289, loss_g: 0.858
[227/1000]: loss_d: 1.291, loss_g: 0.870
[228/1000]: loss_d: 1.290, loss_g: 0.868
[229/1000]: loss_d: 1.294, loss_g: 0.859
[230/1000]: loss_d: 1.289, loss_g: 0.880
[231/1000]: loss_d: 1.286, loss_g: 0.878
[232/1000]: loss_d: 1.289, loss_g: 0.869
[233/1000]: loss_d: 1.297, loss_g: 0.851
[234/1000]: loss_d: 1.298, loss_g: 0.859
[235/1000]: loss_d: 1.286, loss_g: 0.878
[236/1000]: loss_d: 1.290, loss_g: 0.874
[237/1000]: loss_d: 1.293, loss_g: 0.871
[238/1000]: loss_d: 1.294, loss_g: 0.870
[239/1000]: loss_d: 1.290, loss_g: 0.869
[240/1000]: loss_d: 1.294, loss_g: 0.860
[241/1000]: loss_d: 1.286, loss_g: 0.889
[242/1000]: loss_d: 1.292, loss_g: 0.867
[243/1000]: loss_d: 1.293, loss_g: 0.863
[244/1000]: loss_d: 1.297, loss_g: 0.855
[245/1000]: loss_d: 1.295, loss_g: 0.860
[246/1000]: loss_d: 1.295, loss_g: 0.862
[247/1000]: loss_d: 1.292, loss_g: 0.867
[248/1000]: loss_d: 1.300, loss_g: 0.856
[249/1000]: loss_d: 1.297, loss_g: 0.862
[250/1000]: loss_d: 1.295, loss_g: 0.856
[251/1000]: loss_d: 1.298, loss_g: 0.862
[252/1000]: loss_d: 1.292, loss_g: 0.874
[253/1000]: loss_d: 1.288, loss_g: 0.879
[254/1000]: loss_d: 1.292, loss_g: 0.867
[255/1000]: loss_d: 1.292, loss_g: 0.871
[256/1000]: loss_d: 1.291, loss_g: 0.863
[257/1000]: loss_d: 1.298, loss_g: 0.864
[258/1000]: loss_d: 1.291, loss_g: 0.865
[259/1000]: loss_d: 1.292, loss_g: 0.865
[260/1000]: loss_d: 1.291, loss_g: 0.873
[261/1000]: loss_d: 1.296, loss_g: 0.861
[262/1000]: loss_d: 1.294, loss_g: 0.861
[263/1000]: loss_d: 1.299, loss_g: 0.854
[264/1000]: loss_d: 1.293, loss_g: 0.868
[265/1000]: loss_d: 1.296, loss_g: 0.857
[266/1000]: loss_d: 1.295, loss_g: 0.858
[267/1000]: loss_d: 1.291, loss_g: 0.863
[268/1000]: loss_d: 1.295, loss_g: 0.860
[269/1000]: loss_d: 1.293, loss_g: 0.863
[270/1000]: loss_d: 1.292, loss_g: 0.871
[271/1000]: loss_d: 1.293, loss_g: 0.868
[272/1000]: loss_d: 1.297, loss_g: 0.857
[273/1000]: loss_d: 1.296, loss_g: 0.856
[274/1000]: loss_d: 1.299, loss_g: 0.850
[275/1000]: loss_d: 1.295, loss_g: 0.864
[276/1000]: loss_d: 1.296, loss_g: 0.862
[277/1000]: loss_d: 1.292, loss_g: 0.861
[278/1000]: loss_d: 1.297, loss_g: 0.852
[279/1000]: loss_d: 1.297, loss_g: 0.851
[280/1000]: loss_d: 1.294, loss_g: 0.864
[281/1000]: loss_d: 1.296, loss_g: 0.861
[282/1000]: loss_d: 1.294, loss_g: 0.866
[283/1000]: loss_d: 1.295, loss_g: 0.860
[284/1000]: loss_d: 1.295, loss_g: 0.855
[285/1000]: loss_d: 1.296, loss_g: 0.863
[286/1000]: loss_d: 1.296, loss_g: 0.856
[287/1000]: loss_d: 1.303, loss_g: 0.849
[288/1000]: loss_d: 1.294, loss_g: 0.868
[289/1000]: loss_d: 1.293, loss_g: 0.862
[290/1000]: loss_d: 1.289, loss_g: 0.867
[291/1000]: loss_d: 1.295, loss_g: 0.863
[292/1000]: loss_d: 1.295, loss_g: 0.861
[293/1000]: loss_d: 1.294, loss_g: 0.858
[294/1000]: loss_d: 1.294, loss_g: 0.864
[295/1000]: loss_d: 1.294, loss_g: 0.861
[296/1000]: loss_d: 1.299, loss_g: 0.856
[297/1000]: loss_d: 1.295, loss_g: 0.860
[298/1000]: loss_d: 1.293, loss_g: 0.868
[299/1000]: loss_d: 1.299, loss_g: 0.851
[300/1000]: loss_d: 1.299, loss_g: 0.856
[301/1000]: loss_d: 1.296, loss_g: 0.859
[302/1000]: loss_d: 1.297, loss_g: 0.859
[303/1000]: loss_d: 1.299, loss_g: 0.851
[304/1000]: loss_d: 1.295, loss_g: 0.854
[305/1000]: loss_d: 1.301, loss_g: 0.847
[306/1000]: loss_d: 1.304, loss_g: 0.845
[307/1000]: loss_d: 1.292, loss_g: 0.869
[308/1000]: loss_d: 1.296, loss_g: 0.859
[309/1000]: loss_d: 1.291, loss_g: 0.868
[310/1000]: loss_d: 1.300, loss_g: 0.852
[311/1000]: loss_d: 1.299, loss_g: 0.859
[312/1000]: loss_d: 1.296, loss_g: 0.855
[313/1000]: loss_d: 1.301, loss_g: 0.847
[314/1000]: loss_d: 1.299, loss_g: 0.856
[315/1000]: loss_d: 1.295, loss_g: 0.857
[316/1000]: loss_d: 1.295, loss_g: 0.860
[317/1000]: loss_d: 1.297, loss_g: 0.857
[318/1000]: loss_d: 1.298, loss_g: 0.854
[319/1000]: loss_d: 1.294, loss_g: 0.857
[320/1000]: loss_d: 1.298, loss_g: 0.854
[321/1000]: loss_d: 1.294, loss_g: 0.864
[322/1000]: loss_d: 1.297, loss_g: 0.853
[323/1000]: loss_d: 1.302, loss_g: 0.849
[324/1000]: loss_d: 1.286, loss_g: 0.881
[325/1000]: loss_d: 1.295, loss_g: 0.863
[326/1000]: loss_d: 1.296, loss_g: 0.862
[327/1000]: loss_d: 1.300, loss_g: 0.851
[328/1000]: loss_d: 1.298, loss_g: 0.860
[329/1000]: loss_d: 1.300, loss_g: 0.852
[330/1000]: loss_d: 1.297, loss_g: 0.849
[331/1000]: loss_d: 1.296, loss_g: 0.856
[332/1000]: loss_d: 1.302, loss_g: 0.853
[333/1000]: loss_d: 1.291, loss_g: 0.865
[334/1000]: loss_d: 1.295, loss_g: 0.859
[335/1000]: loss_d: 1.295, loss_g: 0.852
[336/1000]: loss_d: 1.291, loss_g: 0.869
[337/1000]: loss_d: 1.303, loss_g: 0.845
[338/1000]: loss_d: 1.295, loss_g: 0.865
[339/1000]: loss_d: 1.300, loss_g: 0.846
[340/1000]: loss_d: 1.302, loss_g: 0.856
[341/1000]: loss_d: 1.295, loss_g: 0.862
[342/1000]: loss_d: 1.299, loss_g: 0.849
[343/1000]: loss_d: 1.298, loss_g: 0.852
[344/1000]: loss_d: 1.299, loss_g: 0.854
[345/1000]: loss_d: 1.292, loss_g: 0.869
[346/1000]: loss_d: 1.292, loss_g: 0.863
[347/1000]: loss_d: 1.299, loss_g: 0.858
[348/1000]: loss_d: 1.293, loss_g: 0.871
[349/1000]: loss_d: 1.295, loss_g: 0.862
[350/1000]: loss_d: 1.298, loss_g: 0.849
[351/1000]: loss_d: 1.301, loss_g: 0.854
[352/1000]: loss_d: 1.289, loss_g: 0.875
[353/1000]: loss_d: 1.293, loss_g: 0.862
[354/1000]: loss_d: 1.294, loss_g: 0.862
[355/1000]: loss_d: 1.293, loss_g: 0.860
[356/1000]: loss_d: 1.297, loss_g: 0.850
[357/1000]: loss_d: 1.294, loss_g: 0.860
[358/1000]: loss_d: 1.292, loss_g: 0.869
[359/1000]: loss_d: 1.296, loss_g: 0.853
[360/1000]: loss_d: 1.295, loss_g: 0.858
[361/1000]: loss_d: 1.297, loss_g: 0.853
[362/1000]: loss_d: 1.298, loss_g: 0.849
[363/1000]: loss_d: 1.298, loss_g: 0.850
[364/1000]: loss_d: 1.297, loss_g: 0.859
[365/1000]: loss_d: 1.295, loss_g: 0.861
[366/1000]: loss_d: 1.293, loss_g: 0.858
[367/1000]: loss_d: 1.295, loss_g: 0.858
[368/1000]: loss_d: 1.293, loss_g: 0.862
[369/1000]: loss_d: 1.297, loss_g: 0.856
[370/1000]: loss_d: 1.295, loss_g: 0.859
[371/1000]: loss_d: 1.292, loss_g: 0.865
[372/1000]: loss_d: 1.289, loss_g: 0.868
[373/1000]: loss_d: 1.294, loss_g: 0.861
[374/1000]: loss_d: 1.295, loss_g: 0.850
[375/1000]: loss_d: 1.298, loss_g: 0.850
